ID,Main Word,IPA,Part Of Speech,Group,Chinese Translation,Chinese Transliteration,Sentence
1,Blue,/bluː/,N/adj,Primary color,蓝色,Lánsè,The sky is blue.
2,Yellow,/ˈjɛloʊ/,N/adj,Primary color,黄色,Huángsè,The sun is yellow.
3,Red,/rɛd/,N/adj,Primary color,红色,Hóngsè,Roses are red.
4,Green,/ɡriːn/,N/adj,Secondary color,绿色,Lǜsè,The leaves are green.
5,Purple,/ˈpɜːrpl/,N/adj,Secondary color,紫色,Zǐsè,The lavender is purple.
6,Orange,/ˈɔːrɪndʒ/,N/adj,Secondary color,橙色,Chéngsè,Oranges are orange.
7,Brown,/braʊn/,N/adj,Neutral color,棕色,Zōngsè,The chocolate is brown.
8,Black,/blæk/,N/adj,Neutral color,黑色,Hēisè,The night is black.
9,White,/waɪt/,N/adj,Neutral color,白色,Báisè,The snow is white.
10,Gray,/ɡreɪ/,N/adj,Neutral color,灰色,Huīsè,The sky is gray today.
11,Beige,/beɪʒ/,N/adj,Neutral color,米色,Mǐsè,The wall is beige.
12,Ivory,/ˈaɪvəri/,N/adj,Neutral color,象牙色,Xiàngyásè,The piano keys are ivory.
13,Almond,/ˈɑːmənd/,N/adj,Neutral color,杏色,Xìngsè,The almond is light brown.
14,Sky,/skaɪ/,N/adj,Pastel color,天空色,Tiānkōngsè,The dress is sky blue.
15,Aqua,/ˈækwə/,N/adj,Pastel color,水绿色,Shuǐlǜsè,The pool is aqua.
16,Blush,/blʌʃ/,N/adj,Pastel color,腮红色,Sāihóngsè,She wore a blush pink dress.
17,Cream,/kriːm/,N/adj,Pastel color,奶油色,Nǎiyóusè,The heels are in cream color.
18,Taupe,/toʊp/,N/adj,Neutral color,坦普色,Tǎnpúsè,The sofa is taupe.
19,Rosewood,/ˈroʊzˌwʊd/,N/adj,Neutral color,玫瑰木色,Méiguì mùsè,The furniture is rosewood.
20,Lilac,/ˈlaɪlək/,N/adj,Pastel color,紫丁香色,Zǐdīngxiāngsè,The lilac flowers bloom in spring.
21,Pink,/pɪŋk/,N/adj,Pastel color,粉色,Fěnsè,The pink balloon floated away.
22,Mint,/mɪnt/,N/adj,Pastel color,薄荷色,Bòhé sè,The mint ice cream is refreshing.
23,Peach,/piːtʃ/,N/adj,Pastel color,桃色,Táosè,The sunset is peach-colored.
24,Lavender,/ˈlævəndər/,N/adj,Pastel color,薰衣草色,Xūn yī cǎo sè,The lavender fields are beautiful.
25,Coral,/ˈkɒrəl/,N/adj,Pastel color,珊瑚色,Shānhú sè,The coral necklace is pretty.
26,Rose,/roʊz/,N/adj,Pastel color,玫瑰色,Méiguì sè,The the ring is rose-colored.
27,Salmon,/ˈsæmən/,N/adj,Pastel color,三文鱼色,Sānwényú sè,The salmon shirt looks great.
28,Plum,/plʌm/,N/adj,Pastel color,李子色,Lǐzǐ sè,The plum dress is elegant.
29,Apricot,/ˈeɪprɪkɒt/,N/adj,Pastel color,杏色,Xìngsè,The apricot fruit is sweet.
30,Lime,/laɪm/,N/adj,Pastel color,酸橙色,Suānchéng sè,The lime is sour.
